YYYY,MM,DD,h,1_Nuclear,2_Thermal(LNG),3_Hydro,4_Geothermal,5_Biomass,6_PV,7_Wind,8_Pumped_Hydro_Charge,9_Pumped_Hydro_Generate,10_Import,11_Export,12_Curtailment_PV,13_Curtailment_Wind,14_Thermal(Coal),15_Thermal(Oil),16_Thermal(Others),17_Battery_Charge,18_Battery_Generate,19_Demand,20_Ohters
2024,4,1,47,0,3970,2098,2,246,0,164,0,1924,1718,0,0,0,2960,0,226,0,0,13370,62
2024,4,1,48,0,4232,1994,2,244,0,148,0,1740,1550,0,0,0,2952,0,226,0,0,13148,60
2024,4,2,1,0,4100,1840,2,248,0,132,0,872,2222,0,0,0,2954,0,226,0,0,12634,38
2024,4,2,2,0,3862,1812,2,250,0,108,0,788,2418,0,0,0,2942,0,226,0,0,12442,34
2024,4,2,3,0,3674,1806,0,252,0,86,0,690,2562,0,0,0,2958,0,226,0,0,12280,26
2024,4,2,4,0,3732,1810,2,252,0,84,0,582,2692,0,0,0,2938,0,224,0,0,12348,32
2024,4,2,5,0,3568,1804,2,256,0,96,0,718,2790,0,0,0,2962,0,224,0,0,12450,30
2024,4,2,6,0,3546,1804,2,254,0,106,0,400,3356,0,0,0,2946,0,228,0,0,12676,34
2024,4,2,7,0,3968,1820,2,254,0,100,0,444,3032,0,0,0,2956,0,226,0,0,12834,32
2024,4,2,8,0,4290,1804,2,252,0,86,0,474,2860,0,0,0,2946,0,226,0,0,12972,32
2024,4,2,9,0,4580,1806,2,254,0,76,0,290,2804,0,0,0,2958,0,224,0,0,13026,32
2024,4,2,10,0,4966,1804,0,250,0,80,0,288,2514,0,0,0,2940,0,224,0,2,13098,30
2024,4,2,11,0,5288,1848,2,256,0,70,0,420,2240,0,0,0,2960,0,224,0,0,13344,36
2024,4,2,12,0,5288,1842,2,248,26,68,0,494,2168,0,0,0,2940,0,226,0,2,13332,28
2024,4,2,13,0,4676,1880,2,254,396,46,0,610,2566,0,0,0,2944,0,224,0,2,13628,28
2024,4,2,14,0,4678,1886,2,248,1384,40,0,410,2348,0,0,0,2642,0,224,0,0,13888,26
2024,4,2,15,0,3658,1842,2,252,2638,22,-52,0,3006,0,0,0,2330,2,224,0,0,13954,30
2024,4,2,16,0,3540,1858,2,246,3976,22,-968,0,3576,0,0,0,1874,0,224,0,0,14380,30
2024,4,2,17,0,3476,1890,2,242,5268,14,-1162,0,3596,0,0,0,1706,0,224,0,0,15288,32
2024,4,2,18,0,3184,1894,2,238,6410,30,-1082,0,3616,0,0,0,1682,0,228,0,0,16234,32
2024,4,2,19,0,2718,1898,2,242,7324,22,-1036,0,3422,0,0,0,1702,0,228,0,0,16554,32
2024,4,2,20,0,2510,1892,2,238,7916,26,-1186,0,3200,0,0,0,1686,0,222,0,0,16538,32
2024,4,2,21,0,3094,1894,0,246,8254,42,-1452,0,2412,0,0,0,1696,0,218,0,0,16436,32
2024,4,2,22,0,2742,1892,2,240,8350,58,-1114,0,2378,0,0,0,1688,0,196,0,0,16464,32
2024,4,2,23,0,2966,1882,2,242,8180,60,-738,0,1574,0,0,0,1708,0,202,0,0,16112,34
2024,4,2,24,0,3408,1778,2,228,7814,68,-1008,0,1604,0,0,0,1716,0,176,0,0,15918,132
2024,4,2,25,0,2832,1764,2,224,7678,68,-1308,0,1838,0,0,0,1698,0,174,0,0,15104,134
2024,4,2,26,0,3288,1766,2,224,7300,74,-1142,0,1398,0,0,0,1726,0,174,0,0,14944,134
2024,4,2,27,0,3436,1888,2,230,6542,66,-380,0,1702,0,0,0,1830,0,186,0,0,15638,136
2024,4,2,28,0,3492,1952,0,246,5748,72,0,424,1630,0,0,0,1870,0,202,0,0,15770,134
2024,4,2,29,0,3492,1950,2,244,5144,68,0,428,2238,0,0,0,1892,0,218,0,0,15810,134
2024,4,2,30,0,3496,2068,2,242,4440,66,0,672,2302,0,0,0,1878,0,226,0,0,15424,32
2024,4,2,31,0,3850,2130,2,244,3568,64,0,1880,1456,0,0,0,1694,0,230,0,0,15148,30
2024,4,2,32,0,4654,2160,2,246,2628,64,0,1610,1934,0,0,0,1830,0,230,0,0,15388,30
2024,4,2,33,0,5076,2258,2,240,1772,52,0,796,2760,0,0,0,2044,0,226,0,0,15256,30
2024,4,2,34,0,6290,2274,0,238,972,50,0,508,2376,0,0,0,2104,0,228,0,0,15074,34
2024,4,2,35,0,6786,2328,2,236,416,40,0,932,1526,0,0,0,2240,0,230,0,0,14768,32
2024,4,2,36,0,7080,2332,2,238,96,30,0,890,1710,0,0,0,2286,0,232,0,0,14928,32
2024,4,2,37,0,7334,2352,2,238,0,26,0,816,1756,0,0,0,2418,0,230,0,0,15212,40
2024,4,2,38,0,7198,2336,2,236,0,22,0,730,2034,0,0,0,2412,0,234,0,2,15248,42
2024,4,2,39,0,7150,2348,2,238,0,16,0,666,1942,0,0,0,2426,0,232,0,2,15062,40
2024,4,2,40,0,6930,2350,0,238,0,16,0,482,1960,0,0,0,2462,0,232,0,0,14708,38
2024,4,2,41,0,6698,2314,4,236,0,16,0,316,2062,0,0,0,2646,0,232,0,2,14568,42
2024,4,2,42,0,6236,2294,0,238,0,20,0,316,2214,0,0,0,2666,0,232,0,2,14260,42
2024,4,2,43,0,6276,2230,2,234,0,22,0,274,2238,0,0,0,2678,0,232,0,0,14234,48
2024,4,2,44,0,5706,2198,2,238,0,16,0,246,2592,0,0,0,2688,0,232,0,2,13962,42
2024,4,2,45,0,5812,2156,2,240,0,16,0,242,2342,0,0,0,2704,0,230,0,2,13788,42
2024,4,2,46,0,6106,2152,2,236,0,10,0,230,1754,0,0,0,2676,0,228,0,0,13436,42
2024,4,2,47,0,5972,2156,2,238,0,10,0,130,1902,0,0,0,2772,0,228,0,0,13452,42
2024,4,2,48,0,5120,2028,2,224,0,10,0,82,2292,0,0,0,2864,0,230,0,0,12900,48
2024,4,3,1,0,5606,1946,2,220,0,18,-12,0,1820,0,0,0,2862,0,228,0,0,12728,38
2024,4,3,2,0,5604,1922,2,224,0,14,-386,0,1768,0,0,0,2858,0,230,0,0,12274,38
2024,4,3,3,0,5828,1920,0,220,0,12,-718,0,1874,0,0,0,2868,0,226,0,0,12276,46
