YYYY,MM,DD,h,1_Nuclear,2_Thermal(LNG),3_Hydro,4_Geothermal,5_Biomass,6_PV,7_Wind,8_Pumped_Hydro_Charge,9_Pumped_Hydro_Generate,10_Import,11_Export,12_Curtailment_PV,13_Curtailment_Wind,14_Thermal(Coal),15_Thermal(Oil),16_Thermal(Others),17_Battery_Charge,18_Battery_Generate,19_Demand,20_Ohters
2024,4,1,47,4525,4434,2186,0,296,0,32,0,569,0,-1462,0,0,2104,173,300,0,0,13230,73
2024,4,1,48,4526,4332,2182,0,295,0,33,0,539,0,-1688,0,0,2104,173,303,0,0,12870,71
2024,4,2,1,4527,4217,2064,0,295,0,26,0,443,0,-1910,0,0,2105,173,304,0,0,12315,71
2024,4,2,2,4526,3886,2068,0,295,0,20,0,178,0,-1714,0,0,2104,173,306,0,0,11912,70
2024,4,2,3,4525,3838,2070,0,294,0,13,0,124,0,-1656,0,0,2104,173,308,0,0,11864,71
2024,4,2,4,4525,3619,2067,0,295,0,8,0,145,0,-1428,0,0,2106,176,310,0,0,11892,69
2024,4,2,5,4523,4088,2068,0,294,0,4,0,162,0,-1450,0,0,2104,178,311,0,0,12360,78
2024,4,2,6,4523,4129,2070,0,296,0,4,0,148,0,-1256,0,0,2101,178,312,0,0,12580,75
2024,4,2,7,4523,4050,2107,0,298,0,2,0,219,0,-970,0,0,2102,177,313,0,0,12903,82
2024,4,2,8,4523,4063,2115,0,298,0,2,0,245,0,-782,0,0,2099,56,313,0,0,13012,80
2024,4,2,9,4523,4300,2089,0,297,0,1,0,227,0,-760,0,0,2100,5,313,0,0,13179,84
2024,4,2,10,4523,4345,2078,0,297,0,1,0,224,0,-736,0,0,2065,5,312,0,0,13196,82
2024,4,2,11,4523,3892,2039,0,297,0,1,0,193,0,-130,0,0,2023,5,309,0,0,13233,81
2024,4,2,12,4523,3810,2058,0,297,2,1,0,271,0,-242,0,0,2039,5,312,0,0,13157,81
2024,4,2,13,4523,3678,2057,0,298,118,1,0,341,0,-152,0,0,2067,4,320,0,0,13320,65
2024,4,2,14,4525,2947,2029,0,298,530,2,0,388,346,0,0,0,2011,4,318,0,0,13462,64
2024,4,2,15,4525,2998,2023,0,297,1168,2,0,354,0,-122,0,0,1960,4,320,0,0,13565,36
2024,4,2,16,4524,3304,2038,0,298,1874,3,0,126,0,-516,0,0,2006,5,322,0,0,14019,35
2024,4,2,17,4523,3070,2364,0,297,2579,3,0,80,0,-322,0,0,1942,5,323,0,0,14876,12
2024,4,2,18,4523,2548,2369,0,297,3156,4,-32,0,548,0,0,0,1807,5,332,0,0,15569,12
2024,4,2,19,4524,2339,2373,0,297,3688,5,-211,0,904,0,0,0,1725,5,334,0,0,15982,-1
2024,4,2,20,4522,1738,2376,0,296,4040,6,-202,0,1116,0,0,0,1728,5,336,0,0,15961,0
2024,4,2,21,4520,1171,2379,0,296,4197,8,-257,0,1420,0,0,0,1818,5,337,0,0,15869,-25
2024,4,2,22,4517,891,2365,0,298,4359,8,-313,0,1556,0,0,0,1715,5,337,0,0,15716,-22
2024,4,2,23,4518,1236,2168,0,299,4420,9,-671,0,1678,0,0,0,1772,5,340,0,0,15756,-18
2024,4,2,24,4521,1192,2152,0,297,4227,12,-789,0,1748,0,0,0,1883,5,341,0,0,15572,-17
2024,4,2,25,4524,1261,2082,0,296,3946,18,-785,0,1424,0,0,0,1888,5,335,0,0,14981,-13
2024,4,2,26,4525,1401,2071,0,296,3514,14,-761,0,1618,0,0,0,1897,43,331,0,0,14940,-9
2024,4,2,27,4523,1609,2070,0,295,3167,16,0,165,1292,0,0,0,1966,245,338,0,0,15691,5
2024,4,2,28,4524,1742,2067,0,294,2888,14,0,798,542,0,0,0,2107,336,337,0,0,15653,4
2024,4,2,29,4522,1730,2252,0,296,2574,18,0,532,688,0,0,0,2114,514,337,0,0,15608,31
2024,4,2,30,4518,1808,2270,0,296,2209,21,0,709,650,0,0,0,2114,600,337,0,0,15562,30
2024,4,2,31,4521,2259,2297,0,296,1713,25,0,671,610,0,0,0,2115,642,338,0,0,15532,45
2024,4,2,32,4523,2956,2306,0,295,1253,25,0,544,464,0,0,0,2114,755,338,0,0,15620,47
2024,4,2,33,4525,3576,2489,0,296,841,29,0,544,246,0,0,0,2117,778,339,0,0,15832,52
2024,4,2,34,4525,3868,2490,0,296,513,35,0,546,96,0,0,0,2113,865,337,0,0,15737,53
2024,4,2,35,4525,4138,2517,0,295,274,37,0,512,190,0,0,0,2114,632,332,0,0,15630,64
2024,4,2,36,4525,4117,2540,0,294,99,45,0,430,784,0,0,0,2092,391,323,0,0,15705,65
2024,4,2,37,4526,4401,2559,0,293,6,50,0,467,652,0,0,0,2038,470,319,0,0,15848,67
2024,4,2,38,4526,4594,2559,0,294,0,58,0,424,466,0,0,0,2038,568,318,0,0,15912,67
2024,4,2,39,4525,4502,2553,0,294,0,64,0,404,550,0,0,0,2039,385,316,0,0,15700,68
2024,4,2,40,4525,4425,2553,0,297,0,61,0,404,322,0,0,0,2040,348,316,0,0,15358,67
2024,4,2,41,4526,4486,2544,0,298,0,67,0,369,26,0,0,0,2041,377,303,0,0,15097,60
2024,4,2,42,4526,4583,2440,0,297,0,70,0,366,0,-174,0,0,2039,365,299,0,0,14871,60
2024,4,2,43,4526,4256,2354,0,296,0,76,0,282,26,0,0,0,2040,351,302,0,0,14567,58
2024,4,2,44,4526,4200,2341,0,295,0,87,0,254,0,-216,0,0,2042,355,301,0,0,14241,56
2024,4,2,45,4526,4085,2335,0,295,0,86,0,53,0,-284,0,0,2096,354,301,0,0,13901,54
2024,4,2,46,4527,4480,2309,0,296,0,95,-342,0,0,-724,0,0,2099,355,302,0,0,13448,51
2024,4,2,47,4526,4908,2134,0,296,0,88,-299,0,0,-1176,0,0,2100,414,301,0,0,13345,53
2024,4,2,48,4527,5096,2130,0,296,0,81,-309,0,0,-1568,0,0,2096,272,304,0,0,12979,54
2024,4,3,1,4527,5093,2016,0,293,0,83,-307,0,0,-1816,0,0,2098,173,306,0,0,12519,53
2024,4,3,2,4527,4334,2008,0,293,0,61,-339,0,0,-1412,0,0,2096,173,309,0,0,12103,53
2024,4,3,3,4526,4507,2000,0,292,0,44,-611,0,0,-1452,0,0,2097,173,313,0,0,11950,61
2024,4,3,4,4527,4615,2003,0,291,0,30,-628,0,0,-1462,0,0,2098,173,316,0,0,12020,57
