YYYY,MM,DD,h,1_Nuclear,2_Thermal(LNG),3_Hydro,4_Geothermal,5_Biomass,6_PV,7_Wind,8_Pumped_Hydro_Charge,9_Pumped_Hydro_Generate,10_Import,11_Export,12_Curtailment_PV,13_Curtailment_Wind,14_Thermal(Coal),15_Thermal(Oil),16_Thermal(Others),17_Battery_Charge,18_Battery_Generate,19_Demand,20_Ohters
2024,4,1,48,0,13402,1794,0,383,0,132,0,192,3090,0,0,0,5405,56,583,0,0,25331,293
2024,4,2,1,0,12990,1787,0,401,0,126,0,94,2664,0,0,0,5366,56,551,0,0,24337,301
2024,4,2,2,0,12535,1845,0,401,0,111,-558,0,2754,0,0,0,5368,57,606,0,0,23465,346
2024,4,2,3,0,12916,1830,0,401,0,126,-877,0,2383,0,0,0,5370,56,615,0,0,23204,386
2024,4,2,4,0,13133,1821,0,402,0,129,-878,0,2106,0,0,0,5368,56,647,0,0,23180,397
2024,4,2,5,0,13131,1809,0,401,0,137,-888,0,2069,0,0,0,5391,56,703,0,0,23204,395
2024,4,2,6,0,13573,1831,0,401,0,146,-477,0,1324,0,0,0,5488,57,745,0,0,23482,394
2024,4,2,7,0,13704,1822,0,401,0,151,-458,0,1376,0,0,0,5522,57,709,0,0,23686,401
2024,4,2,8,0,14016,1819,0,401,0,150,-394,0,1335,0,0,0,5523,57,673,0,0,23971,393
2024,4,2,9,0,14138,1814,0,401,0,150,-459,0,1390,0,0,0,5524,57,688,0,0,24074,373
2024,4,2,10,0,14526,1730,0,403,0,148,-345,0,1283,0,0,0,5524,56,694,0,0,24364,345
2024,4,2,11,0,14836,1723,0,399,0,139,-27,0,1330,0,0,0,5523,57,718,0,0,25042,342
2024,4,2,12,0,14544,1724,0,400,51,142,0,0,1617,0,0,0,5550,57,823,0,0,25213,304
2024,4,2,13,0,14313,1738,0,402,746,137,0,0,1812,0,0,0,5552,57,830,0,0,25899,313
2024,4,2,14,0,13561,1735,0,401,2120,134,0,0,1689,0,0,0,5478,56,867,0,0,26317,274
2024,4,2,15,0,11984,1726,0,400,4018,128,-173,0,2021,0,0,0,5281,56,938,0,0,26675,295
2024,4,2,16,0,10807,1707,0,400,6232,125,-606,0,2161,0,0,0,5219,56,1006,0,0,27384,275
2024,4,2,17,0,9776,1760,0,396,8493,120,-463,0,2371,0,0,0,5030,55,1049,0,0,28868,282
2024,4,2,18,0,9967,1766,0,395,10432,112,-458,0,1859,0,0,0,4777,55,1060,0,0,30258,292
2024,4,2,19,0,9409,1762,0,394,12022,108,-592,0,1883,0,0,0,4841,55,1066,0,0,31233,286
2024,4,2,20,0,8921,1762,0,396,13328,106,-1030,0,2326,0,0,0,4667,54,1080,0,0,31919,309
2024,4,2,21,0,8928,1738,0,395,14355,95,-2415,0,3301,0,0,0,4257,54,1097,0,0,32097,291
2024,4,2,22,0,9397,1732,0,396,15100,90,-2631,0,3134,0,0,0,3987,55,1081,0,0,32649,308
2024,4,2,23,0,8868,1685,0,394,15288,85,-3033,0,3926,0,0,0,4093,55,1074,0,0,32744,309
2024,4,2,24,0,9321,1683,0,395,15205,84,-3424,0,4018,0,0,0,4224,54,1065,0,0,32937,311
2024,4,2,25,0,9308,1683,0,395,13939,85,-3575,0,4068,0,0,0,4504,54,1069,0,0,31837,307
2024,4,2,26,0,9340,1604,0,394,12390,89,-3299,0,4091,0,0,0,4994,55,1086,0,0,31045,302
2024,4,2,27,0,9612,1604,0,390,10940,93,-1556,0,4013,0,0,0,5126,63,1093,0,0,31677,299
2024,4,2,28,0,9900,1629,0,392,9557,94,-431,0,3538,0,0,0,5302,62,1085,0,0,31427,299
2024,4,2,29,0,10692,1673,0,391,8124,101,0,1360,2284,0,0,0,5317,62,1112,0,0,31392,275
2024,4,2,30,0,10994,1669,0,391,6561,110,0,1474,2511,0,0,0,5315,54,1078,0,0,30433,276
2024,4,2,31,0,11173,1684,0,394,5859,111,0,760,3335,0,0,0,5312,54,1001,0,0,29975,292
2024,4,2,32,0,12648,1700,0,393,4991,114,0,1098,2623,0,0,0,5315,54,1005,0,0,30231,291
2024,4,2,33,0,14567,1807,0,394,3708,116,0,931,2157,0,0,0,5357,54,995,0,0,30394,307
2024,4,2,34,0,15687,1826,0,396,2126,104,0,882,2522,0,0,0,5457,55,993,0,0,30349,301
2024,4,2,35,0,16731,1863,0,401,805,92,0,551,2675,0,0,0,5587,55,978,0,0,30037,299
2024,4,2,36,0,18467,1877,0,400,144,91,0,1880,891,0,0,0,5597,55,1020,0,0,30712,290
2024,4,2,37,0,18837,1902,0,402,0,86,0,1973,1114,0,0,0,5645,55,1107,0,0,31423,301
2024,4,2,38,0,18894,1909,0,405,0,77,0,2022,1067,0,0,0,5649,55,1103,0,0,31480,298
2024,4,2,39,0,18719,1920,0,403,0,79,0,1893,1000,0,0,0,5652,54,1094,0,0,31089,274
2024,4,2,40,0,18364,1915,0,403,0,77,0,1252,1511,0,0,0,5651,54,1096,0,0,30606,283
